      1	   1.82	   0.22	 -0.067	1.00091	   2.55	  -0.16	  0.017	1.00012			#	   0.13	  21.53	
      2	   1.68	  -0.15	  0.081	1.00056	   2.19	  -0.53	  0.139	1.00046			#	   0.60	  21.05	
      3	   4.50	  -0.87	  0.345	1.00001	   5.16	  -0.98	  0.272	1.00078			#	   1.09	  18.84	
      4	   2.06	  -1.16	  0.332	1.00037	   2.81	  -1.39	  0.294	1.00074			#	   0.41	  19.70	
      5	   1.80	  -1.12	  0.446	1.00026	   2.48	  -1.04	  0.461	1.00249			#	   0.49	  20.18	
      6	   2.68	  -2.12	  0.523	0.99996	   3.21	  -2.52	  0.530	1.00315			#	   0.59	  19.97	
      7	   3.60	  -2.81	  0.367	0.99955	   4.85	  -3.10	  0.273	1.00021			#	   0.53	  20.62	
      8	   4.06	  -2.80	  0.327	1.00016	   5.22	  -3.06	  0.255	0.99962			#	   0.49	  20.27	
      9	   3.49	  -2.13	  0.214	1.00024	   4.37	  -2.77	  0.227	0.99946			#	   0.41	  19.70	
     10	   3.89	  -1.94	  0.178	1.00060	   4.87	  -2.43	  0.157	1.00008			#	   0.39	  20.23	
     11	   4.02	  -1.58	  0.227	1.00054	   5.44	  -2.04	  0.179	0.99995			#	   0.40	  20.18	
     12	   5.74	  -1.89	  0.289	1.00052	   6.71	  -2.43	  0.224	0.99962			#	   0.47	  19.75	
     13	  10.86	  -1.55	  0.316	0.99995	  12.20	  -2.12	  0.239	0.99976			#	   0.89	  19.84	
     14	  11.85	  -1.20	  0.315	1.00049	  14.24	  -1.89	  0.191	1.00056			#	   1.01	  19.66	
     15	  10.41	  -1.42	  0.353	1.00064	  12.92	  -1.58	  0.243	0.99967			#	   0.76	  19.88	
     16	   9.90	  -1.61	  0.375	1.00091	  12.19	  -2.11	  0.287	0.99930			#	   0.69	  19.79	
     17	  10.04	  -1.44	  0.358	1.00113	  12.17	  -1.88	  0.311	0.99906			#	   0.65	  20.36	
     18	  10.33	  -1.00	  0.266	1.00145	  12.97	  -1.35	  0.240	0.99914			#	   0.73	  19.53	
     19	   9.75	  -0.38	  0.137	1.00132	  13.07	  -0.93	  0.072	0.99863			#	   0.61	  20.57	
     20	   7.85	  -0.36	  0.151	1.00017	   9.99	  -0.90	  0.072	0.99941			#	   0.42	  20.62	
     21	   6.97	  -0.22	  0.168	1.00027	   8.90	  -0.98	  0.114	1.00000			#	   0.40	  21.66	
     22	   7.25	  -0.07	  0.199	1.00010	   9.16	  -0.30	  0.140	0.99950			#	   0.43	  21.53	
     23	   5.90	  -0.30	  0.200	1.00047	   7.66	  -0.97	  0.177	0.99990			#	   0.35	  21.70	
     24	   4.24	   0.12	  0.052	1.00052	   5.70	  -0.25	  0.086	1.00031			#	   0.29	  21.92	
     25	   4.01	   0.27	 -0.055	1.00064	   5.27	  -0.04	 -0.058	0.99996			#	   0.29	  22.09	
     26	   4.79	  -0.46	  0.043	1.00015	   5.75	  -0.62	 -0.006	0.99978			#	   0.30	  21.18	
     27	   5.07	   0.19	  0.008	0.99999	   6.54	  -0.42	  0.012	0.99997			#	   0.33	  21.79	
     28	   4.72	   0.17	 -0.136	1.00041	   5.77	  -0.13	 -0.139	1.00060			#	   0.33	  22.18	
     29	   4.33	  -0.23	 -0.103	1.00107	   5.88	  -0.32	 -0.097	1.00074			#	   0.35	  22.14	
     30	   4.37	  -0.28	  0.007	1.00038	   5.48	  -0.69	  0.014	1.00028			#	   0.46	  22.18	
     31	   4.31	  -0.83	  0.078	1.00066	   5.53	  -0.87	  0.101	1.00003			#	   0.42	  22.66	
     32	   4.21	  -0.45	  0.105	1.00062	   5.46	  -0.68	  0.103	1.00017			#	   0.45	  23.13	
     33	   4.50	  -0.66	  0.112	1.00005	   5.34	  -0.68	  0.082	1.00001			#	   0.39	  23.00	
     34	   4.46	  -0.87	  0.070	0.99983	   5.39	  -0.90	  0.067	0.99985			#	   0.33	  22.70	
     35	   4.08	  -0.50	 -0.009	0.99991	   4.78	  -0.83	  0.031	1.00007			#	   0.44	  21.66	
     36	   3.98	  -0.46	 -0.021	1.00001	   4.41	  -0.39	 -0.035	1.00059			#	   0.38	  22.09	
     37	   4.38	  -0.54	 -0.021	0.99979	   5.06	  -0.51	 -0.045	1.00023			#	   0.36	  21.53	
     38	   3.38	  -0.98	  0.010	0.99979	   3.61	  -0.96	  0.004	0.99967			#	   0.44	  22.18	
     39	   3.42	  -0.60	  0.030	0.99999	   3.05	  -0.35	  0.050	1.00025			#	   0.51	  22.61	
     40	   2.91	  -0.69	 -0.009	0.99989	   2.02	  -0.20	  0.016	1.00051			#	   0.49	  23.09	
     41	   2.98	  -0.64	 -0.023	0.99994	   3.44	  -0.30	 -0.055	1.00003			#	   0.50	  22.57	
     42	   2.23	  -0.70	 -0.051	0.99992	   2.15	  -0.32	 -0.041	1.00023			#	   0.48	  23.87	
     43	   2.19	  -0.52	 -0.044	0.99974	   1.68	  -0.16	 -0.021	1.00055			#	   0.56	  24.13	
     44	   1.59	  -0.91	 -0.048	0.99996	   0.81	  -0.50	 -0.001	1.00028			#	   0.63	  24.61	
     45	   0.94	  -0.09	 -0.089	0.99951	   0.52	  -0.15	 -0.042	1.00019			#	   0.65	  24.96	
     46	   0.26	  -0.20	 -0.132	1.00005	  -0.03	  -0.35	 -0.067	0.99979			#	   0.69	  24.35	
     47	   0.08	  -0.58	 -0.010	0.99969	  -0.72	  -0.40	  0.008	1.00000			#	   0.81	  23.91	
     48	  -0.04	  -0.12	 -0.014	0.99957	  -0.50	  -0.15	  0.001	1.00016			#	   0.67	  25.13	
     49	  -0.58	  -0.04	 -0.065	0.99937	  -1.12	   0.00	 -0.052	1.00045			#	   0.65	  24.09	
     50	  -1.02	  -0.29	 -0.000	0.99907	  -1.87	  -0.13	  0.032	1.00005			#	   0.68	  24.52	
     51	  -1.65	   0.06	 -0.015	0.99938	  -2.31	  -0.12	  0.009	0.99920			#	   0.75	  24.35	
     52	  -1.77	   0.26	 -0.036	0.99992	  -1.08	   0.16	 -0.070	0.99919			#	   0.82	  23.65	
     53	  -1.46	   0.73	  0.005	0.99987	  -0.96	   0.37	 -0.028	0.99896			#	   0.63	  22.96	
     54	  -1.73	   0.90	 -0.006	1.00000	  -2.04	   0.66	  0.014	0.99891			#	   0.69	  23.31	
     55	  -2.25	   1.53	  0.008	0.99980	  -2.90	   0.88	  0.063	0.99906			#	   0.78	  22.79	
     56	  -2.02	   2.04	 -0.091	0.99983	  -1.88	   1.67	 -0.075	0.99892			#	   0.92	  20.92	
     57	  -2.74	   2.32	 -0.126	0.99991	  -2.84	   1.93	 -0.114	0.99869			#	   0.69	  20.57	
     58	  -2.51	   2.60	 -0.089	1.00012	  -2.81	   2.06	 -0.075	0.99856			#	   0.72	  20.57	
     59	  -2.06	   3.09	 -0.066	1.00053	  -2.04	   2.35	 -0.061	0.99849			#	   0.72	  21.14	
