      1	  -1.65	   0.40	  0.051	0.99979	  -3.10	   0.31	  0.043	1.00096			#	   0.04	  46.27	
      2	  -2.30	   1.33	  0.058	0.99927	  -3.99	   1.56	  0.119	1.00113			#	   0.23	  45.40	
      3	  -2.05	  -0.11	  0.037	0.99967	  -4.49	   0.39	  0.066	1.00112			#	   0.22	  45.92	
      4	  -0.68	  -0.39	  0.060	0.99968	  -2.78	  -0.13	  0.069	1.00142			#	   0.10	  47.87	
      5	  -0.51	  -1.50	  0.074	0.99997	  -2.37	  -0.54	  0.089	1.00130			#	   0.11	  48.26	
      6	  -0.02	  -1.51	  0.065	0.99999	  -1.71	  -1.53	  0.065	1.00157			#	   0.09	  46.83	
      7	  -1.05	  -0.33	  0.058	0.99523	  -2.37	  -0.05	  0.116	0.99675			#	   0.23	  49.70	
      8	  -1.75	  -1.34	  0.049	0.99883	  -3.18	  -1.09	  0.067	1.00000			#	   0.19	  50.48	
      9	  -1.17	  -0.55	  0.078	0.99967	  -3.54	  -0.47	  0.096	1.00119			#	   0.14	  50.56	
     10	  -0.16	  -0.32	  0.090	1.00021	  -2.40	  -0.44	  0.099	1.00134			#	   0.09	  50.22	
     11	   1.06	   1.13	  0.068	1.00002	  -1.02	   1.06	  0.106	1.00089			#	   0.09	  52.17	
     12	   1.73	   1.21	  0.035	1.00038	  -0.11	   1.84	  0.053	1.00079			#	   0.13	  51.17	
     13	   3.37	   0.55	  0.053	1.00052	   1.37	   1.49	  0.034	1.00066			#	   0.21	  50.69	
     14	   4.16	   0.49	  0.064	1.00060	   2.93	   1.38	  0.065	1.00083			#	   0.35	  50.69	
     15	   4.08	  -0.15	  0.086	1.00079	   3.16	   0.42	  0.053	1.00103			#	   0.36	  51.00	
     16	   3.02	   0.71	  0.081	1.00046	   2.39	   1.10	  0.108	1.00100			#	   0.25	  50.61	
     17	   1.38	  -0.17	  0.055	1.00056	   0.86	   0.79	  0.062	1.00094			#	   0.09	  50.48	
     18	   0.92	   0.52	  0.043	1.00040	  -1.10	   0.72	  0.070	1.00148			#	   0.06	  52.17	
     19	   2.31	   0.45	  0.050	1.00037	   0.65	   1.11	  0.032	1.00103			#	   0.13	  51.61	
     20	   2.07	  -0.10	  0.079	1.00059	   0.83	   1.01	  0.076	1.00123			#	   0.15	  52.82	
     21	   1.96	  -1.06	  0.093	1.00052	   0.60	  -0.23	  0.093	1.00112			#	   0.13	  52.95	
     22	   2.06	  -1.13	  0.076	1.00051	   0.72	  -0.44	  0.096	1.00160			#	   0.13	  52.43	
     23	   1.12	  -1.46	  0.096	1.00061	   0.16	  -0.72	  0.075	1.00137			#	   0.10	  52.17	
     24	   0.98	  -1.11	  0.153	1.00033	  -0.73	  -0.68	  0.153	1.00150			#	   0.09	  52.78	
     25	   1.29	  -1.20	  0.172	1.00048	  -0.22	  -0.35	  0.175	1.00163			#	   0.12	  51.61	
     26	   0.29	  -1.05	  0.194	1.00048	  -0.53	  -1.03	  0.199	1.00174			#	   0.11	  51.43	
     27	  -1.65	  -0.30	  0.183	0.99996	  -2.64	   0.25	  0.220	1.00146			#	   0.15	  52.04	
     28	  -2.42	  -1.17	  0.213	1.00006	  -4.59	   0.05	  0.222	1.00187			#	   0.31	  49.70	
     29	  -2.43	  -2.82	  0.257	1.00018	  -3.98	  -1.83	  0.271	1.00222			#	   0.38	  50.52	
     30	  -2.26	  -3.47	  0.300	1.00016	  -4.97	  -2.98	  0.322	1.00245			#	   0.48	  49.96	
     31	  -1.77	  -3.33	  0.302	1.00033	  -2.93	  -2.87	  0.338	1.00236			#	   0.29	  52.17	
     32	  -3.74	  -2.94	  0.261	0.99994	  -4.98	  -2.94	  0.322	1.00263			#	   0.55	  49.57	
     33	  -5.67	  -3.40	  0.275	0.99986	  -6.83	  -2.21	  0.294	1.00259			#	   1.01	  47.01	
     34	  -8.04	  -3.81	  0.309	1.00102	  -9.32	  -4.24	  0.356	1.00463			#	   1.60	  40.19	
     35	  -9.26	  -3.23	  0.314	0.99937	 -11.49	  -2.90	  0.376	1.00273			#	   1.40	  38.85	
     36	  -7.86	  -3.35	  0.322	0.99982	 -11.61	  -3.40	  0.383	1.00331			#	   1.24	  41.71	
     37	  -5.69	  -3.42	  0.299	1.00022	  -8.55	  -2.61	  0.367	1.00272			#	   0.87	  43.36	
     38	  -3.07	  -3.32	  0.253	1.00058	  -6.79	  -3.19	  0.322	1.00288			#	   0.45	  50.09	
     39	   0.42	  -3.12	  0.217	0.99971	  -2.95	  -2.09	  0.254	1.00096			#	   0.10	  52.26	
     40	   3.83	  -4.28	  0.172	1.00001	   1.83	  -2.50	  0.184	1.00073			#	   0.32	  49.05	
     41	   4.52	  -3.67	  0.133	1.00034	   3.63	  -3.49	  0.147	1.00123			#	   0.42	  50.87	
     42	   3.99	  -2.07	  0.134	0.99993	   3.29	  -1.32	  0.126	1.00069			#	   0.41	  51.56	
     43	   2.39	  -2.32	  0.131	1.00007	   1.98	  -1.05	  0.135	1.00070			#	   0.25	  49.05	
     44	  -0.33	  -1.78	  0.146	0.99960	  -0.28	  -1.12	  0.170	1.00064			#	   0.10	  52.17	
     45	  -2.60	  -1.66	  0.142	1.00068	  -3.92	  -0.95	  0.204	1.00226			#	   0.37	  51.39	
     46	  -3.25	  -2.49	  0.133	1.00137	  -5.02	  -1.32	  0.179	1.00296			#	   0.65	  46.96	
     47	  -3.60	  -2.95	  0.127	1.00148	  -5.23	  -2.12	  0.176	1.00365			#	   0.83	  47.96	
     48	  -4.22	  -3.14	  0.130	1.00146	  -5.77	  -2.94	  0.166	1.00375			#	   1.05	  44.92	
     49	  -5.59	  -1.84	  0.128	1.00119	  -6.48	  -1.57	  0.208	1.00345			#	   1.04	  46.01	
